query_id,query,group,pretrained_product_id,pretrained_title,pretrained_category,finetuned_product_id,finetuned_title,finetuned_category,same_top1
q011,áo size XL,C,39919397,Áo jersey tập luyện bóng đá nam Unbeatablesale Intensity N3220603XLG màu Maroon - Cỡ XL,Thể thao & Ngoài trời > Trang phục thể thao nam > Trang phục thể thao & giải trí nam > Đồng phục bóng đá nam,B08LNZBWHP,Under Armour Nam ColdGear Compression Mock,"Quần áo, Giày & Trang sức > Nam > Quần áo > Thể thao > Lớp nền & Nén > Áo",False
q012,dầu dưỡng tóc 250ml,C,B006L6A06Q,"TONI & GUY Cleanse Shampoo cho tóc hư tổn, 250ml",Sắc đẹp > Salon nữ > Chăm sóc tóc > Làm sạch,B0CNZ6ZV14,SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Dầu Dưỡng Tóc Tăng Trưởng -250ML (2),Sắc đẹp > Chăm sóc tóc > Dầu dưỡng tóc,False
q013,giày size 42 nam,C,29284636,"20 đôi/Set Tất Ngắn Nam, Mềm & Thoải mái, Độ dài mắt cá chân, Thấm ẩm & Chống mùi, Họa tiết hỗn hợp số, chữ và sọc ngẫu nhiên, Thích hợp cho sinh hoạt hàng ngày, Tập gym",Đồ lót & Đồ ngủ > Tất nam > Tất mắt cá chân nam,B00U4ADYCM,Wolverine Nam Overman Nano Toe 10 Inch Chống thấm Contour Welt Giày ủng công việc,"Quần áo, Giày & Trang sức > Nam > Đồng phục, An toàn lao động > Giày > Công cụ làm việc > Giày",False
q014,ốp lưng màu hồng,C,B09M99SBQ3,"NZND Ốp lưng cho At&t Motivate 3 (phiên bản 3)/ Motivate 2 (phiên bản 2)/ Cricket Icon 3/ Cricket Splendor kèm bảo vệ màn hình cường lực, móc vòng/ dây đeo cổ tay, ốp lưng chất lỏng lấp lánh (hồng/xanh nước biển)","Điện thoại di động & Phụ kiện > Ốp lưng, Bao đựng & Túi > Ốp lưng cơ bản",B09M99SBQ3,"NZND Ốp lưng cho At&t Motivate 3 (phiên bản 3)/ Motivate 2 (phiên bản 2)/ Cricket Icon 3/ Cricket Splendor kèm bảo vệ màn hình cường lực, móc vòng/ dây đeo cổ tay, ốp lưng chất lỏng lấp lánh (hồng/xanh nước biển)","Điện thoại di động & Phụ kiện > Ốp lưng, Bao đựng & Túi > Ốp lưng cơ bản",True
q015,đèn led màu trắng,C,B076DGDMD6,"GE Đèn LED, tương đương 60 Watt, trắng mềm, bóng cầu G16, mờ, đế nhỏ (2 chiếc)",Dụng cụ & Cải thiện nhà > Bóng đèn > Đèn LED,B076DGDMD6,"GE Đèn LED, tương đương 60 Watt, trắng mềm, bóng cầu G16, mờ, đế nhỏ (2 chiếc)",Dụng cụ & Cải thiện nhà > Bóng đèn > Đèn LED,True
q016,bluetooth chong on,D,B0B1QQYMT2,"Volkano Wireless Bluetooth Speaker - Loa Bluetooth không dây, Loa di động, Boom Box nhỏ cho ngoài trời, 12W True Wireless Sound FM Radio/Đọc thẻ SD/USB/AUX, Driver 3 inch - Đen, Series Mamba",Điện tử > Âm thanh & Video di động > Loa & Dock di động > Loa Bluetooth di động,B08BKY3KVL,"BUGANI Loa Bluetooth Di động, Loa Bluetooth 40W Âm thanh Stereo, Loa Bluetooth Lớn 24H Phát Nhạc Hỗ trợ Thẻ TF/AUX, IPX6 Chống Nước cho Biển, Cắm Trại, Ngoài Trời và Trong Nhà",Điện tử > Âm thanh & Video Di động > Loa & Đế Di động > Loa Bluetooth Di động,False
q017,giay the thao nam,D,B08NW4N1R1,FANMATS NFL Nam Bộ khởi đầu phòng nam,Thể thao & Ngoài trời > Cửa hàng fan > Nhà & Bếp > Trang trí > Thảm khu vực,B097BK5V34,Timberland Unisex-Adult Pro Ballast Giày bảo hộ mũi thép điện,"Quần áo, Giày & Trang sức > Nam > Đồng phục, Công việc & An toàn > Giày > Công việc & Tiện ích > Giày",False
q018,tai nghe khong day co mic,D,B07WWN97S7,"Razer Kraken Tournament Edition Tai nghe chơi game âm thanh vòm THX 7.1: Mic thu âm giảm tiếng ồn có thể thu hẹp - USB DAC - cho PC, PS4, PS5, Nintendo Switch, Xbox One, Xbox Series X & S, Mobile Đen","Điện tử > Tai nghe, Earbuds & Phụ kiện > Tai nghe & Earbuds > Tai nghe Over-Ear",B0BK8QY1JB,"Tai nghe Bluetooth cho tài xế xe tải, không dây với AI giảm tiếng ồn môi trường & micrô tắt tiếng, thời gian nói lên tới 30h, phạm vi không dây 164ft, tai nghe over-ear Bluetooth cho PC, máy tính, Skype","Điện tử > Tai nghe, Earbuds & Phụ kiện > Tai nghe & Earbuds > Tai nghe On-Ear",False
q019,den nang luong mat troi,D,B08ZKXX16F,"Bộ tổ chức lưới ô tô 3 lớp, Túi lưới đa năng giữa ghế, Rào lưới an toàn cho chó và trẻ em ở ghế sau, Giá đỡ túi xách, ví, giấy vệ sinh, Túi lưu trữ cho người lái",Ô tô > Phụ kiện nội thất > Bảng điều khiển & Ngăn chứa > Ngăn ghế sau,B005ZM8XJS,"Dritz 99-34 Móc áo bơi kim loại, Trắng, 3/4 inch, 2 chiếc","Nghệ thuật, Thủ công & May > May > Phụ kiện & Dụng cụ May > Khóa kéo & Đai > May đồ lót",False
q020,op lung iphone chong soc,D,B09F96HK49,"CloudValley Ốp Lưng iPhone 13 Pro Thiết Kế Slide Che Camera, Bảo Vệ Va Đập Bằng Cao Su Mềm & Lưng Cứng, Đen","Điện thoại & Phụ kiện > Ốp Lưng, Bao Da & Túi > Ốp Lưng Cơ Bản",B09F96HK49,"CloudValley Ốp Lưng iPhone 13 Pro Thiết Kế Slide Che Camera, Bảo Vệ Va Đập Bằng Cao Su Mềm & Lưng Cứng, Đen","Điện thoại & Phụ kiện > Ốp Lưng, Bao Da & Túi > Ốp Lưng Cơ Bản",True
q021,áo hoodie nam,A,B08CWLGRJD,Áo hoodie nỉ logo J-Class nam Nautica,"Quần áo, Giày & Trang sức > Nam",B08CWLGRJD,Áo hoodie nỉ logo J-Class nam Nautica,"Quần áo, Giày & Trang sức > Nam",True
q022,áo khoác chống nắng nữ,A,B0948S3DS9,andy & natalie Áo khoác denim nữ Oversize tay dài cổ cơ bản cúc nút với túi,"Quần áo, Giày dép & Trang sức > Nữ > Quần áo > Áo khoác, áo khoác ngoài & áo vest > Áo khoác denim",B0CHBGFQY5,"Áo khoác sưởi Yottjacky, Áo khoác sưởi cho nam và nữ, Áo khoác sưởi nam với bộ pin 7.4V 3A 16000mAh","Quần áo, Giày & Trang sức > Trang phục thể thao > Trượt tuyết > Nam > Áo khoác",False
q023,quần jean nam ống rộng,A,B07QHN1PP6,Levi's Men's 511 Slim Fit Jeans (Ngừng sản xuất),"Quần áo, Giày dép & Trang sức > Nam > Quần áo > Quần jean",B07QHN1PP6,Levi's Men's 511 Slim Fit Jeans (Ngừng sản xuất),"Quần áo, Giày dép & Trang sức > Nam > Quần áo > Quần jean",True
q024,váy công sở nữ thanh lịch,A,25300916,"Túi xách vai họa tiết kẻ sọc cho phụ nữ, tay cầm trên hobo có mặt dây chuyền, túi xách rộng rãi, túi xách thời trang cho học sinh, quà tặng, túi đeo chéo du lịch, túi xách vintage cho laptop, phù hợp đi làm và đi chơi",Túi & Vali > Túi phụ nữ > Túi xách tay phụ nữ,B08HQLGH11,Belle Poque Váy Midi A-Line Cạp Cao Túi Skater Xòe,"Quần áo, Giày & Trang sức > Nữ > Quần áo > Váy",False
q025,áo polo nam,A,B07DWWWN3Q,Ouray Sportswear NCAA Baylor Bears Nam Avenger Polo Tay Ngắn,Thể thao & Ngoài trời > Cửa hàng fan > Trang phục > Áo polo,B07DWWWN3Q,Ouray Sportswear NCAA Baylor Bears Nam Avenger Polo Tay Ngắn,Thể thao & Ngoài trời > Cửa hàng fan > Trang phục > Áo polo,True
q026,giày nam,B,B08CGC63WH,Merrell Nam Trail Glove 6 Giày Sneaker,"Quần áo, Giày & Trang sức > Nam > Giày > Thể thao > Chạy bộ > Chạy địa hình",B00U4ADYCM,Wolverine Nam Overman Nano Toe 10 Inch Chống thấm Contour Welt Giày ủng công việc,"Quần áo, Giày & Trang sức > Nam > Đồng phục, An toàn lao động > Giày > Công cụ làm việc > Giày",False
q027,giày đi bộ cho người lớn tuổi,A,B095JJ4GXM,Skechers Women's Go Joy Giày Đi Bộ,"Quần áo, Giày & Trang sức > Nữ > Giày > Thể thao > Đi bộ",B08FF49H36,Skechers Giày Đi Bộ Go Joy Nữ,"Quần áo, Giày & Trang sức > Nữ > Giày > Thể thao > Đi bộ",False
q028,áo sơ mi trắng đi làm,A,B003XXF2WW,Áo sơ mi twill tinh tế Easy Care Epic của Cutter & Buck cho nam,"Quần áo, Giày dép & Trang sức > Nam > Quần áo > Áo sơ mi > Áo sơ mi casual cài nút",41427950,Supreme Supreme | Áo sơ mi flannel sọc kéo,Nam > Quần áo nam > Áo trên người nam > Áo sơ mi nam,False
q029,quần short nam mặc ở nhà,A,B0B1HX1F7G,"Billabong Nam Standard 73 Pro Boardshort, 4-Way Performance Stretch, 20 Inch Đường Ngoài","Quần áo, Giày & Trang sức > Nam > Quần áo > Bơi > Board Shorts",B01DWNKVKA,French Toast Quần Short Nam Điều Chỉnh Vòng Eo Mặt Phẳng,"Quần áo, Giày & Trang sức > Nam > Đồng phục học sinh > Quần áo > Quần short",False
q030,áo giữ nhiệt mùa đông,A,25388369,"Keep Sun Protective Anti UV 1 chiếc khăn cổ đa năng mùa đông cho đạp xe, trượt tuyết, chạy bộ, chống gió & giữ nhiệt",Thể thao & Ngoài trời > Đạp xe > Phụ kiện đạp xe > Mặt nạ & khăn cổ đạp xe,B0B3WVR4VQ,"QBLEEV Áo khoác chó ấm phản quang, áo khoác mùa đông không thấm nước, áo len cổ tròn cho thời tiết lạnh, áo khoác tuyết dày cho chó kích thước L",Đồ dùng cho thú cưng > Chó > Trang phục & Phụ kiện > Áo khoác thời tiết lạnh,False
q031,áo khoác chống nước đi phượt,A,B0B3WVR4VQ,"QBLEEV Áo khoác chó ấm phản quang, áo khoác mùa đông không thấm nước, áo len cổ tròn cho thời tiết lạnh, áo khoác tuyết dày cho chó kích thước L",Đồ dùng cho thú cưng > Chó > Trang phục & Phụ kiện > Áo khoác thời tiết lạnh,B0CHBGFQY5,"Áo khoác sưởi Yottjacky, Áo khoác sưởi cho nam và nữ, Áo khoác sưởi nam với bộ pin 7.4V 3A 16000mAh","Quần áo, Giày & Trang sức > Trang phục thể thao > Trượt tuyết > Nam > Áo khoác",False
q032,áo sweater nam form rộng,A,B086145R2W,Beyove Nữ Casual Áo Sweater Dệt Nhẹ Kiểu Block Màu Tay Dài/Tay Ngắn Có Túi Cổ Tròn,"Quần áo, Giày & Trang sức > Nữ > Quần áo > Áo hoodie & sweatshirt thời trang",39952822,Nike INC International Concepts Sweatshirt Nam Màu Xanh Lá Regular Fit Full Zip Hoodie MXX2,Thể thao & Ngoài trời > Nam Activewear > Nam Áo trên đầu > Nam Áo sweatshirt thể thao,False
q033,giày sneaker nữ,A,B08Z7462W4,"STQ Giày đi bộ cho phụ nữ thoải mái, thoáng khí | Giày sneaker slip on nhẹ, hỗ trợ","Quần áo, Giày & Trang sức > Nữ > Giày > Thể thao > Đi bộ",B09JC1XWXB,Blowfish Malibu Nữ Play Canvas Sneaker,"Quần áo, Giày & Trang sức > Nữ > Giày > Giày sneaker thời trang",False
q034,dép đi trong nhà chống trượt,A,40706762,"20pcs bảo vệ chân ghế nội thất, nắp silicone bảo vệ chân ghế, miếng đệm chống trượt cho chân ghế",Nhà & Đời sống > Đồ thiết yếu cho nhà > Bảo vệ nội thất > Bảo vệ cạnh,B08PVHBHT3,JIASUQI Giày dép trong nhà bông lông ấm mùa đông cho bé gái và bé trai,"Quần áo, Giày dép & Trang sức > Nữ > Giày > Dép",False
q035,túi xách nữ,B,31121322,"Túi xách vai phong cách đường phố mới, màu trơn, thời trang và tối giản, túi nhỏ hình vuông",Balo & Đồ dùng du lịch > Túi nữ > Túi xách tay nữ,B09H616MGV,Túi xách vintage Kiss Lock cho phụ nữ da dầu Leather buổi tối clutch satchel ví tote,"Quần áo, Giày dép & Trang sức > Nữ > Túi xách & Ví > Túi xách cỡ trung",False
q036,tai nghe không dây,A,B0CHYFK238,"Tai nghe không dây, 2023 Thể thao Bluetooth 5.3 với HiFi Stereo, 75H Tai nghe không dây có Mic khử tiếng ồn, IP7 Chống nước, Tai nghe Bluetooth, Màn hình LED, Điều khiển nút, Trắng","Điện tử > Tai nghe, Tai nghe nhét tai & Phụ kiện > Tai nghe & Tai nghe nhét tai > Tai nghe nhét tai",B0CHYFK238,"Tai nghe không dây, 2023 Thể thao Bluetooth 5.3 với HiFi Stereo, 75H Tai nghe không dây có Mic khử tiếng ồn, IP7 Chống nước, Tai nghe Bluetooth, Màn hình LED, Điều khiển nút, Trắng","Điện tử > Tai nghe, Tai nghe nhét tai & Phụ kiện > Tai nghe & Tai nghe nhét tai > Tai nghe nhét tai",True
q037,chuột không dây,A,B0036DDT5G,Allsop Mouse Pad Pro Memory Foam Mouse Pad - Đen (30203),Sản phẩm văn phòng > Văn phòng & Đồ dùng học tập > Phụ kiện bàn làm việc & Tổ chức không gian làm việc > Bàn chuột & Đệm cổ tay > Bàn chuột,B0036DDT5G,Allsop Mouse Pad Pro Memory Foam Mouse Pad - Đen (30203),Sản phẩm văn phòng > Văn phòng & Đồ dùng học tập > Phụ kiện bàn làm việc & Tổ chức không gian làm việc > Bàn chuột & Đệm cổ tay > Bàn chuột,True
q038,bàn phím cơ,A,B076LRJ528,"Koolertron Bàn phím cơ một tay có thể lập trình với công tắc OEM Gateron Red, 48 phím lập trình, bàn phím công cụ, 8 phím Macro, keycap PBT. SMKD72-A",Trò chơi điện tử > PC > Phụ kiện > Bàn phím chơi game,B076LRJ528,"Koolertron Bàn phím cơ một tay có thể lập trình với công tắc OEM Gateron Red, 48 phím lập trình, bàn phím công cụ, 8 phím Macro, keycap PBT. SMKD72-A",Trò chơi điện tử > PC > Phụ kiện > Bàn phím chơi game,True
q039,loa bluetooth chống nước,A,B01J4C2O4Y,"Coleman Waterproof, Loa Bluetooth Hands-Free cho Smartphone - Đỏ",Điện tử > Âm thanh & Video di động > Loa & Đế di động > Loa Bluetooth di động,B08BKY3KVL,"BUGANI Loa Bluetooth Di động, Loa Bluetooth 40W Âm thanh Stereo, Loa Bluetooth Lớn 24H Phát Nhạc Hỗ trợ Thẻ TF/AUX, IPX6 Chống Nước cho Biển, Cắm Trại, Ngoài Trời và Trong Nhà",Điện tử > Âm thanh & Video Di động > Loa & Đế Di động > Loa Bluetooth Di động,False
q040,webcam,B,B075454YKR,"M MAKETHEONE CVBS BNC sang HDMI Converter, Đầu vào Composite BNC và Audio, Đầu ra HDMI với công tắc 720P/1080P, Chuyển tín hiệu video analog từ camera an ninh CCTV sang màn hình HD, máy chiếu hoặc máy tính",Điện tử > Truyền hình & Video > Phụ kiện > Bộ chuyển đổi video,B075454YKR,"M MAKETHEONE CVBS BNC sang HDMI Converter, Đầu vào Composite BNC và Audio, Đầu ra HDMI với công tắc 720P/1080P, Chuyển tín hiệu video analog từ camera an ninh CCTV sang màn hình HD, máy chiếu hoặc máy tính",Điện tử > Truyền hình & Video > Phụ kiện > Bộ chuyển đổi video,True
q041,micro thu âm,A,B0BK8QY1JB,"Tai nghe Bluetooth cho tài xế xe tải, không dây với AI giảm tiếng ồn môi trường & micrô tắt tiếng, thời gian nói lên tới 30h, phạm vi không dây 164ft, tai nghe over-ear Bluetooth cho PC, máy tính, Skype","Điện tử > Tai nghe, Earbuds & Phụ kiện > Tai nghe & Earbuds > Tai nghe On-Ear",37211302,"1 chiếc dù mini chống tia UV cho nắng và mưa, dù bỏ túi di động có lớp phủ UV, dù che nắng 6 xương gia cố màu Cam Rực Rỡ",Nhà & Đời sống > Hàng gia dụng > Đồ bảo vệ mưa > Dù và mũ che mưa,False
q042,sạc nhanh,B,40593209,"1 chiếc Sạc Tường USB, Bộ Đổi Nguồn, 4 Cổng Sạc Nhanh Dạng Cube Tương Thích Với iPhone 14 13 12 11 Pro Max 10 SE X XS 8 Plus và Samsung Galaxy S22 S21 S20",Điện thoại & Phụ kiện > Sạc > Sạc tường,B07L8L39RX,Native Union Dock Sạc Không Dây Phiên Bản Terrazzo - Qi Certified Sạc Nhanh 10W và Đế Đa Năng Tương Thích với iPhone 11/11 Pro/11 Pro Max (Rose),Điện thoại & Phụ kiện > Phụ kiện > Bộ sạc & Bộ chuyển nguồn > Trạm sạc,False
q043,pin dự phòng dung lượng lớn,A,40283789,"Đèn pin LED 800W mạnh mẽ 2024 với hiển thị công suất, hỗ trợ sạc Type-C USB, 5 chế độ, điều chỉnh thu phóng, có thể thu gọn, chống thấm nước, đèn lồng cho hoạt động ngoài trời, leo núi, ánh sáng khẩn cấp",Công cụ & Cải thiện nhà > Đèn chiếu sáng & Đèn > Đèn di động > Đèn pin & Đèn cầm tay,B08XMD52LX,"SPWOMYGD 6500mAh Nâng Cấp Pin Dung Lượng Cao cho iPhone 8 Plus, Pin Thay Thế 0 Cycle, kèm Bộ Dụng Cụ Sửa Chuyên Nghiệp và Hướng Dẫn","Điện thoại & Phụ kiện > Phụ kiện > Bảo trì, Bảo dưỡng & Sửa chữa > Linh kiện thay thế > Pin",False
q044,ổ cứng di động lưu dữ liệu,A,B092R6HW7L,"Seagate Expansion 18TB Ổ Cứng Ngoại Vi HDD - USB 3.0, kèm Dịch Vụ Phục Hồi Dữ Liệu Cứu Hộ (STKP18000400)",Điện tử > Máy tính & Phụ kiện > Lưu trữ dữ liệu > Ổ cứng ngoài,B092R6HW7L,"Seagate Expansion 18TB Ổ Cứng Ngoại Vi HDD - USB 3.0, kèm Dịch Vụ Phục Hồi Dữ Liệu Cứu Hộ (STKP18000400)",Điện tử > Máy tính & Phụ kiện > Lưu trữ dữ liệu > Ổ cứng ngoài,True
q045,camera giám sát,A,B09KLWCNMH,"Clip Mount cho Camera Giám sát Em bé Eufy, Giá đỡ Gooseneck linh hoạt cho giường trẻ không cần dụng cụ hay gây hư hại tường - Màu Trắng",Sản phẩm cho bé > An toàn > Máy giám sát > Máy giám sát video,B09KLWCNMH,"Clip Mount cho Camera Giám sát Em bé Eufy, Giá đỡ Gooseneck linh hoạt cho giường trẻ không cần dụng cụ hay gây hư hại tường - Màu Trắng",Sản phẩm cho bé > An toàn > Máy giám sát > Máy giám sát video,True
q046,đèn led học tập chống cận,A,41223873,"2024 Đèn pin LED cầm tay mạnh mẽ, công suất cao, sáng siêu chói, đèn chiến thuật, sạc lại, thu phóng kính, chống nước, hiển thị pin LED, đèn lồng tích hợp pin 3600mAh, đèn pin câu cá, đèn khẩn cấp, màu trắng, laser",Dụng cụ & Cải thiện nhà > Chiếu sáng & Đèn > Đèn chiếu sáng di động > Đèn pin & Đèn cầm tay,B076DGDMD6,"GE Đèn LED, tương đương 60 Watt, trắng mềm, bóng cầu G16, mờ, đế nhỏ (2 chiếc)",Dụng cụ & Cải thiện nhà > Bóng đèn > Đèn LED,False
q047,tai nghe có mic họp online,A,B0BK8QY1JB,"Tai nghe Bluetooth cho tài xế xe tải, không dây với AI giảm tiếng ồn môi trường & micrô tắt tiếng, thời gian nói lên tới 30h, phạm vi không dây 164ft, tai nghe over-ear Bluetooth cho PC, máy tính, Skype","Điện tử > Tai nghe, Earbuds & Phụ kiện > Tai nghe & Earbuds > Tai nghe On-Ear",B0BK8QY1JB,"Tai nghe Bluetooth cho tài xế xe tải, không dây với AI giảm tiếng ồn môi trường & micrô tắt tiếng, thời gian nói lên tới 30h, phạm vi không dây 164ft, tai nghe over-ear Bluetooth cho PC, máy tính, Skype","Điện tử > Tai nghe, Earbuds & Phụ kiện > Tai nghe & Earbuds > Tai nghe On-Ear",True
q048,giá đỡ laptop chống mỏi cổ,A,B0BK89447W,"Fintie Hybrid Slim Case cho iPad Thế hệ 10, Tablet 10.9 inch (Model 2022) - Chân cầm bút tích hợp Ốp bảo vệ chống sốc với lớp sau trong suốt, tự động bật/tắt, màu Starlight","Điện tử > Máy tính & Phụ kiện > Phụ kiện Tablet > Túi, Ốp & Ống > Ốp",B0CHYDX91L,"LETTON Rose Gold Giá Đỡ Laptop Điều Chỉnh Được Cho Bàn, Đế Nâng Laptop Di Động, Giá Đỡ Nhôm Gập, Giá Đỡ Ergonomic Cho Tablet Notebook",Điện tử > Máy tính & Phụ kiện > Phụ kiện Laptop > Giá đỡ,False
q049,bộ phát wifi cho gia đình,A,40242350,"Máy chiếu gia đình HD Dual-Band 5G mới 2024, hỗ trợ mirroring smartphone Android & iOS, chiếu tường, rạp chiếu mini, chơi game, học từ xa, quà Giáng sinh & Valentine",Điện tử > Thiết bị tiêu dùng > Âm thanh & Video gia đình > Máy chiếu,B0BTHP6T2F,"BrosTrend AX1800 USB WiFi 6 tương thích Linux cho PC và Raspberry Pi 2+, Adapter WiFi USB cho Ubuntu, Mint, Debian, Kubuntu, Mate, Zorin, PureOS, Windows 11/10",Điện tử > Máy tính & Phụ kiện > Sản phẩm mạng > Bộ chuyển đổi mạng > Bộ chuyển đổi mạng USB,False
